condition,seed,method,MAE,KL,n,m_sources
default,20260613,Choquet(ours),0.08743057110826465,0.8618829162570224,6854,5
default,20260613,naive_mean,0.0972602695175603,0.9240183344993264,6854,5
default,20260613,rel_wtd_mean,0.09265209614929294,0.8967624670863814,6854,5
default,20260613,median,0.12239829427995151,4.657261203479075,6854,5
default,20260613,dempster_shafer,0.17081569632149934,3.8721198259042167,6854,5
default,20260613,corr_cluster,0.10536483159141324,0.9825527212893932,6854,5
default,20260613,sugeno,0.07750011526891512,0.7996621299493203,6854,5
default,7,Choquet(ours),0.15695351874585614,1.341625572759989,6829,5
default,7,naive_mean,0.17031108451107874,1.4799039525236821,6829,5
default,7,rel_wtd_mean,0.1622587511708395,1.409127813888645,6829,5
default,7,median,0.19798730268174336,7.082840334209286,6829,5
default,7,dempster_shafer,0.16545859335896104,4.06391585385036,6829,5
default,7,corr_cluster,0.18632541748026663,1.6480209406634239,6829,5
default,7,sugeno,0.14361529684970023,1.1941735224592545,6829,5
default,101,Choquet(ours),0.12572969084544663,1.1144088170217068,6843,5
default,101,naive_mean,0.13529733537520833,1.2000003134825272,6843,5
default,101,rel_wtd_mean,0.13152708918596875,1.170396286452965,6843,5
default,101,median,0.1606919660108218,5.220543040186014,6843,5
default,101,dempster_shafer,0.17631476589859915,8.545839060695958,6843,5
default,101,corr_cluster,0.14534429591678288,1.2881614886047867,6843,5
default,101,sugeno,0.11034719908188287,0.99767997966752,6843,5
default,11,Choquet(ours),0.13978964486772238,1.1659808934406264,6830,5
default,11,naive_mean,0.13635633005080464,1.1996076000651152,6830,5
default,11,rel_wtd_mean,0.13794453144357038,1.1894837865874948,6830,5
default,11,median,0.13742704706459388,4.0342868737615625,6830,5
default,11,dempster_shafer,0.16790426372566833,8.413748511357845,6830,5
default,11,corr_cluster,0.13540980190851848,1.2285363994486271,6830,5
default,11,sugeno,0.1481528374765836,1.1328312273262893,6830,5
default,23,Choquet(ours),0.13525991391942493,1.1424200823174229,6861,5
default,23,naive_mean,0.14524762041338757,1.2402047940957022,6861,5
default,23,rel_wtd_mean,0.13925216782754005,1.1917161580680862,6861,5
default,23,median,0.16623654341346678,5.727645880844613,6861,5
default,23,dempster_shafer,0.1691456339366363,8.236241599514402,6861,5
default,23,corr_cluster,0.15708474613322443,1.3364944509325658,6861,5
default,23,sugeno,0.12330437118815825,1.0220497733294653,6861,5
default,47,Choquet(ours),0.1338283606176464,1.1134585554319727,6867,5
default,47,naive_mean,0.13463873508728738,1.1646530076173143,6867,5
default,47,rel_wtd_mean,0.13536827538428325,1.154928641550331,6867,5
default,47,median,0.14375745201881207,3.7475676759993983,6867,5
default,47,dempster_shafer,0.16677622364252703,4.552117322630246,6867,5
default,47,corr_cluster,0.13695794096910596,1.2159759190698203,6867,5
default,47,sugeno,0.1346554207966887,1.0392960479712285,6867,5
default,89,Choquet(ours),0.07083969989731728,0.9066450398679368,6852,5
default,89,naive_mean,0.0666667141119133,0.8994746457608437,6852,5
default,89,rel_wtd_mean,0.071664511529067,0.9116060190775771,6852,5
default,89,median,0.07653838523866792,2.4108650463205805,6852,5
default,89,dempster_shafer,0.16157391085842035,3.052309087196798,6852,5
default,89,corr_cluster,0.06023668429018846,0.8888770811683013,6852,5
default,89,sugeno,0.07698718088439621,0.9103003671796168,6852,5
default,137,Choquet(ours),0.1163686996936243,0.7738150001327317,6840,5
default,137,naive_mean,0.12163987388482608,0.8244887956820469,6840,5
